"genre","n_games","total_positive","total_negative","avg_positive_ratio","weighted_positive_ratio","avg_bayes_rating","median_bayes_rating","avg_playtime_hours","ratio_gap","rating_gap"
"game development","287",27323,3701,"0.7657","0.8807","0.8491","0.8570","218","0.1150","-0.0079"
"casual","44529",9930485,1517050,"0.7733","0.8675","0.8465","0.8570","42","0.0942","-0.0105"
"photo editing","167",539337,13050,"0.7736","0.9764","0.8459","0.8570","127","0.2027","-0.0111"
"education","444",20289,5164,"0.7054","0.7971","0.8431","0.8570","260","0.0917","-0.0139"
"indie","72101",32218271,4139352,"0.7702","0.8861","0.8430","0.8570","53","0.1159","-0.0140"
"adventure","40153",29879496,5653359,"0.7668","0.8409","0.8420","0.8570","76","0.0741","-0.0150"
"early access","13762",5384890,1012567,"0.7548","0.8417","0.8408","0.8570","59","0.0869","-0.0163"
"design & illustration","578",633577,26016,"0.7534","0.9606","0.8404","0.8570","541","0.2071","-0.0167"
"animation & modeling","481",644795,24932,"0.7367","0.9628","0.8383","0.8570","350","0.2261","-0.0187"
"action","42011",54898020,9752987,"0.7571","0.8491","0.8375","0.8570","82","0.0921","-0.0195"
"web publishing","120",36954,5553,"0.7407","0.8694","0.8373","0.8522","902","0.1287","-0.0149"
"rpg","18875",20514687,3450975,"0.7555","0.8560","0.8371","0.8570","135","0.1005","-0.0199"
"utilities","1006",679585,40715,"0.7263","0.9435","0.8362","0.8570","682","0.2172","-0.0208"
"free to play","9852",18034815,4068071,"0.7272","0.8159","0.8356","0.8570","118","0.0888","-0.0215"
"accounting","25",746,368,"0.7605","0.6697","0.8353","0.8570","76","-0.0909","-0.0217"
"software training","231",21018,5514,"0.7306","0.7922","0.8346","0.8543","505","0.0615","-0.0197"
"strategy","19966",13154694,2367347,"0.7475","0.8475","0.8343","0.8570","124","0.1000","-0.0228"
"racing","3879",2274975,394810,"0.7253","0.8521","0.8340","0.8570","78","0.1268","-0.0230"
"sports","4691",2849655,683621,"0.7229","0.8065","0.8336","0.8570","123","0.0836","-0.0234"
"simulation","21193",15522201,2430683,"0.7236","0.8646","0.8334","0.8570","116","0.1410","-0.0236"
"video production","337",101918,14387,"0.7077","0.8763","0.8329","0.8570","376","0.1686","-0.0241"
"audio production","232",63644,8360,"0.7280","0.8839","0.8295","0.8563","911","0.1559","-0.0268"
"sexual content","107",10771,2545,"0.6631","0.8089","0.8156","0.8257","48","0.1457","-0.0102"
"massively multiplayer","2659",7479378,2827040,"0.6415","0.7257","0.7960","0.8485","261","0.0842","-0.0525"
"violent","511",60380,21183,"0.5855","0.7403","0.7959","0.8164","52","0.1548","-0.0205"
"nudity","117",11298,4378,"0.6285","0.7207","0.7959","0.8094","94","0.0922","-0.0135"
"gore","304",39327,12337,"0.5933","0.7612","0.7956","0.8204","44","0.1679","-0.0248"
