"price_bucket","price_range","n_games","avg_owners","avg_playtime","playtime_per_euro","owners_per_euro","avg_rating","rating_per_euro"
0,"€0 (free)","22815","97921","82","","","0.840",""
1,"€0–€5","43290","28458","31","14.48","13910.12","0.843","0.444"
2,"€05–€10","22745","51420","56","6.39","5900.01","0.845","0.107"
3,"€10–€15","9633","66563","101","7.30","4684.54","0.846","0.064"
4,"€15–€20","6144","148966","223","11.57","7565.68","0.839","0.045"
5,"€20–€25","1661","115608","204","8.25","4667.07","0.839","0.035"
6,"€25–€30","1472","285360","384","12.84","9555.15","0.823","0.028"
7,"€30–€35","308","133571","407","11.74","3950.98","0.831","0.024"
8,"€35–€40","682","459032","573","14.35","11488.62","0.816","0.021"
9,"€40–€45","111","276396","619","13.91","6249.17","0.828","0.019"
10,"€45–€50","309","244773","630","12.62","4897.29","0.812","0.016"
11,"€50–€55","40","167500","446","8.13","3081.19","0.806","0.015"
12,"€55–€60","364","811882","1120","18.66","13534.02","0.800","0.013"
13,"€60+","416","67284","111","1.50","921.42","0.833","0.008"
