"tag","in_top","overall","top_share","base_share","lift"
"nostalgia","95","197","0.0086","0.0027","3.21"
"cult classic","142","309","0.0129","0.0042","3.06"
"crowdfunded","43","104","0.0039","0.0014","2.76"
"touch-friendly","103","253","0.0094","0.0035","2.71"
"epic","44","110","0.0040","0.0015","2.67"
"wholesome","114","298","0.0104","0.0041","2.55"
"remake","134","355","0.0122","0.0048","2.52"
"great soundtrack","1655","4429","0.1505","0.0604","2.49"
"lgbtq+","440","1193","0.0400","0.0163","2.46"
"moddable","289","801","0.0263","0.0109","2.41"
"cozy","151","425","0.0137","0.0058","2.37"
"classic","546","1545","0.0496","0.0211","2.36"
"narrative","120","341","0.0109","0.0047","2.35"
"dating sim","545","1584","0.0495","0.0216","2.29"
"romance","656","1955","0.0596","0.0267","2.24"
"lego","35","105","0.0032","0.0014","2.22"
"episodic","50","159","0.0045","0.0022","2.10"
"cats","301","984","0.0274","0.0134","2.04"
"addictive","128","422","0.0116","0.0058","2.02"
"kickstarter","59","195","0.0054","0.0027","2.02"
"emotional","655","2188","0.0595","0.0298","2.00"
"visual novel","1432","4797","0.1302","0.0654","1.99"
"mouse only","169","566","0.0154","0.0077","1.99"
"soundtrack","216","730","0.0196","0.0100","1.97"
"short","489","1674","0.0445","0.0228","1.95"
"unforgiving","45","155","0.0041","0.0021","1.94"
"faith","92","320","0.0084","0.0044","1.92"
"villain protagonist","58","203","0.0053","0.0028","1.90"
"anime","1964","7048","0.1785","0.0961","1.86"
"beautiful","195","699","0.0177","0.0095","1.86"
"sokoban","140","506","0.0127","0.0069","1.84"
"story rich","2964","10924","0.2695","0.1490","1.81"
"comedy","1337","4924","0.1215","0.0672","1.81"
"roguelike deckbuilder","84","310","0.0076","0.0042","1.81"
"sequel","47","174","0.0043","0.0024","1.80"
"memes","414","1539","0.0376","0.0210","1.79"
"dark humor","409","1520","0.0372","0.0207","1.79"
"hentai","241","900","0.0219","0.0123","1.79"
"programming","102","380","0.0093","0.0052","1.79"
"time attack","79","294","0.0072","0.0040","1.79"
"female protagonist","1630","6172","0.1482","0.0842","1.76"
"parody","142","539","0.0129","0.0074","1.76"
"otome","111","421","0.0101","0.0057","1.76"
"multiple endings","1081","4141","0.0983","0.0565","1.74"
"sexual content","757","2933","0.0688","0.0400","1.72"
"mature","337","1309","0.0306","0.0179","1.72"
"cute","2600","10124","0.2364","0.1381","1.71"
"drama","674","2623","0.0613","0.0358","1.71"
"blood","119","465","0.0108","0.0063","1.71"
"funny","2066","8092","0.1878","0.1104","1.70"
