"year","n_games_10","n_games_100","total_reviews","avg_bayes","weighted_bayes","median_bayes","yoy_change_avg","yoy_change_weighted"
"1997-01-01","2","2","6216","0.874","0.870","0.874","",""
"1998-01-01","1","1","75965","0.965","0.965","0.965","0.091","0.095"
"1999-01-01","3","3","23355","0.851","0.910","0.860","-0.114","-0.055"
"2000-01-01","2","2","208174","0.897","0.971","0.897","0.046","0.061"
"2001-01-01","4","4","23864","0.892","0.906","0.914","-0.005","-0.065"
"2002-01-01","1","1","6825","0.897","0.897","0.897","0.005","-0.009"
"2003-01-01","3","2","6542","0.796","0.875","0.796","-0.100","-0.021"
"2004-01-01","6","6","327124","0.906","0.955","0.932","0.109","0.079"
"2005-01-01","7","5","28952","0.855","0.894","0.880","-0.051","-0.061"
"2006-01-01","62","53","1005536","0.854","0.959","0.868","-0.002","0.065"
"2007-01-01","104","95","1311134","0.830","0.933","0.855","-0.024","-0.026"
"2008-01-01","165","127","634728","0.819","0.885","0.848","-0.011","-0.048"
"2009-01-01","312","245","1586637","0.805","0.926","0.831","-0.014","0.040"
"2010-01-01","249","184","1264205","0.792","0.911","0.818","-0.013","-0.014"
"2011-01-01","268","231","2721957","0.774","0.928","0.807","-0.018","0.017"
"2012-01-01","339","306","9481480","0.787","0.890","0.822","0.013","-0.038"
"2013-01-01","455","422","6623147","0.783","0.868","0.813","-0.004","-0.022"
"2014-01-01","1583","1180","4180109","0.763","0.849","0.786","-0.020","-0.019"
"2015-01-01","2532","1492","9031059","0.772","0.866","0.795","0.009","0.016"
"2016-01-01","3902","1919","8116733","0.783","0.866","0.805","0.012","0.000"
"2017-01-01","4751","1872","9885405","0.794","0.791","0.814","0.010","-0.075"
"2018-01-01","5527","1833","8658004","0.805","0.852","0.828","0.012","0.062"
"2019-01-01","4636","1751","6582379","0.820","0.859","0.846","0.014","0.007"
"2020-01-01","5424","1953","9203076","0.834","0.864","0.858","0.015","0.005"
"2021-01-01","5338","1704","5662448","0.838","0.832","0.858","0.003","-0.032"
"2022-01-01","3580","1014","2499005","0.832","0.843","0.858","-0.005","0.011"
"2023-01-01","2747","775","1413472","0.828","0.770","0.864","-0.005","-0.073"
"2024-01-01","3329","914","2080273","0.840","0.862","0.872","0.012","0.092"
"2025-01-01","1154","310","717903","0.847","0.832","0.875","0.007","-0.031"
