"developers","dev_avg_bayes","dev_weighted_bayes","dev_top10_games","dev_bayes_stability","tag","n_games_tag","avg_bayes_tag","tag_delta_vs_dev"
"Arc System Works","0.808","0.901","22.6","0.0986","2.5d","3","0.919","0.111"
"Arc System Works","0.808","0.901","22.6","0.0986","fantasy","3","0.904","0.096"
"Arc System Works","0.808","0.901","22.6","0.0986","e-sports","8","0.902","0.093"
"BioWare","0.846","0.872","73.3","0.0757","tactical","3","0.908","0.062"
"BioWare","0.846","0.872","73.3","0.0757","dark fantasy","4","0.885","0.039"
"BioWare","0.846","0.872","73.3","0.0757","classic","4","0.884","0.038"
"Bohemia Interactive","0.683","0.786","44.4","0.1506","team-based","3","0.871","0.187"
"Bohemia Interactive","0.683","0.786","44.4","0.1506","moddable","4","0.794","0.111"
"Bohemia Interactive","0.683","0.786","44.4","0.1506","cold war","3","0.739","0.055"
"CAPCOM Co., Ltd.","0.845","0.849","89.5","0.1242","crime","3","0.955","0.110"
"CAPCOM Co., Ltd.","0.845","0.849","89.5","0.1242","text-based","3","0.948","0.103"
"CAPCOM Co., Ltd.","0.845","0.849","89.5","0.1242","choose your own adventure","3","0.948","0.103"
"Codemasters","0.715","0.839","68.8","0.1747","split screen","4","0.826","0.112"
"Codemasters","0.715","0.839","68.8","0.1747","controller","6","0.820","0.106"
"Codemasters","0.715","0.839","68.8","0.1747","3d","3","0.815","0.100"
"Creobit","0.839","0.621","0.8","0.0461","2d","12","0.849","0.010"
"Creobit","0.839","0.621","0.8","0.0461","puzzle","74","0.848","0.009"
"Creobit","0.839","0.621","0.8","0.0461","singleplayer","76","0.846","0.007"
"Cyanide Studio","0.718","0.768","34.5","0.1410","replay value","4","0.840","0.123"
"Cyanide Studio","0.718","0.768","34.5","0.1410","co-op","4","0.831","0.113"
"Cyanide Studio","0.718","0.768","34.5","0.1410","relaxing","6","0.825","0.107"
"Daedalic Entertainment","0.812","0.848","31.8","0.1239","dark humor","7","0.883","0.072"
"Daedalic Entertainment","0.812","0.848","31.8","0.1239","steampunk","5","0.882","0.070"
"Daedalic Entertainment","0.812","0.848","31.8","0.1239","casual","3","0.877","0.065"
"Double Fine Productions","0.822","0.873","50.0","0.1893","cartoony","4","0.957","0.134"
"Double Fine Productions","0.822","0.873","50.0","0.1893","action-adventure","3","0.953","0.131"
"Double Fine Productions","0.822","0.873","50.0","0.1893","third person","5","0.930","0.108"
"Dovetail Games","0.778","0.731","46.7","0.0631","trains","10","0.793","0.015"
"Dovetail Games","0.778","0.731","46.7","0.0631","simulation","15","0.778","0.000"
"Dovetail Games","0.778","0.731","46.7","0.0631","immersive sim","8","0.778","0.000"
"DSGame","0.798","0.803","93.8","0.0801","romance","3","0.848","0.050"
"DSGame","0.798","0.803","93.8","0.0801","dating sim","5","0.822","0.024"
"DSGame","0.798","0.803","93.8","0.0801","multiple endings","4","0.813","0.015"
"Frogwares","0.770","0.805","31.3","0.1122","2d","3","0.854","0.084"
"Frogwares","0.770","0.805","31.3","0.1122","crime","4","0.828","0.057"
"Frogwares","0.770","0.805","31.3","0.1122","choices matter","5","0.825","0.055"
"Gearbox Software","0.796","0.834","53.3","0.1223","moddable","3","0.917","0.121"
"Gearbox Software","0.796","0.834","53.3","0.1223","story rich","5","0.906","0.110"
"Gearbox Software","0.796","0.834","53.3","0.1223","military","4","0.901","0.105"
"id Software","0.843","0.900","42.9","0.1061","nostalgia","4","0.920","0.077"
"id Software","0.843","0.900","42.9","0.1061","pixel graphics","4","0.917","0.074"
